decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
TRF2-LIVE-1,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,2ª Turma Recursal do Espírito Santo,FRANCISCO DE ASSIS BASILIO DE MORAES,,30/04/2026,5036398-55.2024.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50363985520244025001
TRF2-LIVE-2,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,2ª Turma Recursal do Espírito Santo,FRANCISCO DE ASSIS BASILIO DE MORAES,,30/04/2026,5002738-33.2025.4.02.5002,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50027383320254025002
TRF2-LIVE-3,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,2ª Turma Recursal do Espírito Santo,FRANCISCO DE ASSIS BASILIO DE MORAES,,30/04/2026,5026283-72.2024.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50262837220244025001
TRF2-LIVE-4,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,,23/04/2026,5002000-48.2025.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50020004820254025001
TRF2-LIVE-5,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,,23/04/2026,5000554-07.2025.4.02.5002,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50005540720254025002
TRF2-LIVE-6,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,,23/04/2026,5004400-69.2024.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50044006920244025001
TRF2-LIVE-7,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,,23/04/2026,5000508-12.2025.4.02.5004,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50005081220254025004
TRF2-LIVE-8,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,,23/04/2026,5007895-24.2024.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50078952420244025001
TRF2-LIVE-9,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,,23/04/2026,5019434-55.2022.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50194345520224025001
TRF2-LIVE-10,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,,20/05/2026,5025065-72.2025.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50250657220254025001
